Model,Dataset,PSNR,SSIM,MS-SSIM,LPIPS,NIQE,MUSIQ,TOPIQ-NR,URanker,UCIQE,UIQM,Latency(ms),Params(M),GPU Mem(MB)
Shallow-UWnet,test-UIEB-unpaired,,,,,7.897372017780909,39.6556583404541,0.3992625579237938,0.28679733181294675,3.3233600815137225,8.304942977428436,117.42092552185058,0.219456,1500.693359375
U-shape,test-EUVP,28.477140913009645,0.8963986764443125,0.9802634688012247,0.15877257803454994,5.365870334615079,43.072405118942264,0.40223401963710786,1.6716685827448965,5.749213590025902,5.7552005404233935,32.71610244750976,31.589775,1452.904296875
U-shape,test-LSUI,26.43070188999176,0.9007908797804913,0.9749481983978626,0.1450322539359331,5.143297980727777,40.414852151870726,0.4126045434176922,1.6844148836331443,4.627137421369553,5.996840896606446,32.26269500732422,31.589775,1452.904296875
U-shape,test-UIEB,21.98172402911716,0.8391371843301197,0.9410047730575681,0.18326568024026024,5.128550131895876,49.476003117031524,0.5439651879999373,1.84361718909608,4.6663335574997795,5.85755439069536,32.68021833631727,31.589775,1452.904296875
U-shape,test-EUVP-unpaired,,,,,5.099700962852964,41.48693159103394,0.4309817418456078,1.152122857272625,4.848391525745392,7.152965369224549,32.241834869384775,31.589775,1452.904296875
U-shape,test-RUIE-unpaired,,,,,4.771396920402562,34.454185099601744,0.365037551894784,1.4941876102890819,3.1234088999032976,6.721533592939377,32.36316177368163,31.589775,1452.904296875
U-shape,test-UIEB-unpaired,,,,,6.09430930179396,44.2230086962382,0.4686717470486959,1.0827866392831007,4.203261866172155,6.8914483745892845,32.63657887776693,31.589775,1452.904296875
USUIR,test-EUVP,16.57479215145111,0.8060051516308371,0.9127325683071302,0.35346899285912514,5.414623442504872,37.36591283798218,0.3531470285356045,2.047198035120964,5.378487968444825,5.705267606973648,6.428049736022949,0.225542,1254.708984375
USUIR,test-LSUI,18.206379928588866,0.8635072790484511,0.9324596517266395,0.2989919192716479,5.135906336869934,39.50426845550537,0.4060068333148956,1.716177849881351,5.691481741666794,5.773854526281357,6.405063972473146,0.225542,1254.708984375
USUIR,test-UIEB,19.706595336066353,0.9158876176828478,0.9516256868985551,0.20766280111339358,5.170792336859566,49.914918941921655,0.5589868797196282,1.5850918009256323,5.262468208207024,6.01202637884352,6.405917920006646,0.225542,1254.708984375
USUIR,test-EUVP-unpaired,,,,,5.378519675704309,40.055669736862185,0.43442710116505623,1.510782754099928,5.428193063735962,6.561565700769425,6.411186275482177,0.225542,1254.708984375
USUIR,test-RUIE-unpaired,,,,,4.407257752175848,35.908555703163145,0.36287613652646544,1.2331927893403918,6.153672121763229,5.977913465499878,6.407411537170411,0.225542,1254.708984375
USUIR,test-UIEB-unpaired,,,,,5.98043318257962,45.728817494710285,0.48533827662467954,1.234234599644939,5.679164457321167,6.638723317782084,6.422188790639242,0.225542,1254.708984375
